transaction_id,customer_id,account_id,account_age_days,customer_risk_score,kyc_status,transaction_amount,transaction_datetime,transaction_type,transaction_channel,merchant_id,merchant_category,currency,is_international,transaction_city,transaction_state,ip_address,device_id,device_type,geo_distance_from_last_txn_km,location_match_with_profile,txn_count_last_1hr,txn_count_last_24hr,avg_txn_amount_last_7days,current_vs_avg_amount_ratio,failed_login_attempts,is_night_transaction,receiver_id,receiver_bank,receiver_account_type,relationship_with_customer,fraud,fraud_type,report_source
TXN000011,CUST566,ACC68901,1725,38,verified,152186,2025-02-07 18:24:00,upi,atm,MRC8088,Clothing,INR,no,Gurgaon,HR,103.235.115.109,DEV_31095,Web,85.23,yes,6,38,16141,9.43,0,no,RCV1468,HDFC,Savings,New,no,none,none
TXN000012,CUST314,ACC11044,1227,35,pending,34298,2025-01-30 19:07:00,debit,internet,MRC8436,Electronics,INR,no,Hyderabad,TS,103.177.28.242,DEV_90145,iOS,24.09,no,8,29,12797,2.68,2,no,RCV8219,BOB,Wallet,Unknown,no,none,none
TXN000013,CUST430,ACC56691,1474,66,verified,145481,2025-02-06 19:33:00,pos,internet,MRC8005,Electronics,INR,no,Indore,MP,103.54.213.54,DEV_66743,Android,64.52,yes,7,30,16946,8.58,4,no,RCV8783,KOTAK,Current,New,no,none,none
TXN000014,CUST558,ACC34363,322,46,verified,161097,2025-01-28 09:54:00,pos,mobile,MRC7371,Electronics,INR,no,Pune,MH,103.166.184.18,DEV_77404,Web,44.66,yes,5,39,9918,16.24,3,yes,RCV8881,HDFC,Current,Known,no,none,none
TXN000015,CUST187,ACC56694,88,8,verified,147348,2025-01-07 15:19:00,atm,branch,MRC4213,Grocery,INR,no,Pune,MH,103.133.177.34,DEV_68287,Android,147.0,yes,7,15,21470,6.86,0,no,RCV6118,KOTAK,Wallet,Unknown,no,none,none
TXN000016,CUST472,ACC11582,189,68,verified,113032,2025-01-06 18:34:00,atm,atm,MRC5791,Electronics,INR,no,Gurgaon,HR,103.117.254.170,DEV_79062,iOS,55.54,yes,8,29,6069,18.62,4,no,RCV5186,HDFC,Current,New,no,none,none
TXN000017,CUST199,ACC89910,1013,37,verified,97779,2025-01-12 21:33:00,imps,mobile,MRC4286,Travel,INR,no,Kolkata,WB,103.240.55.35,DEV_84207,iOS,228.88,yes,8,34,3431,28.49,5,no,RCV7068,HDFC,Wallet,Unknown,yes,Card theft,system_alert
TXN000018,CUST971,ACC76844,684,85,verified,149594,2025-02-01 12:14:00,debit,atm,MRC6165,Food,INR,no,Mumbai,MH,103.244.14.36,DEV_14415,Web,80.52,yes,2,37,27269,5.49,1,yes,RCV5758,KOTAK,Savings,New,no,none,none
TXN000019,CUST763,ACC31301,1747,13,verified,20617,2025-01-24 20:45:00,debit,mobile,MRC5110,Grocery,INR,no,Ahmedabad,GJ,103.181.106.208,DEV_27598,iOS,49.89,yes,2,10,25995,0.79,4,no,RCV5739,AXIS,Savings,Unknown,no,none,none
TXN000020,CUST230,ACC84329,23,73,pending,54603,2025-01-23 09:01:00,debit,atm,MRC9327,Travel,INR,no,Bengaluru,KA,103.124.7.12,DEV_62989,Android,108.93,yes,9,5,16975,3.22,0,no,RCV9054,ICICI,Wallet,Known,no,none,none
TXN000021,CUST761,ACC11620,868,45,verified,28614,2025-01-23 07:56:00,neft,internet,MRC2657,Fuel,INR,no,Surat,GJ,103.207.68.191,DEV_23341,Android,192.06,no,3,17,4378,6.53,0,no,RCV1819,ICICI,Savings,Unknown,yes,Card theft,customer_complaint
TXN000022,CUST408,ACC72224,255,29,verified,133387,2025-01-18 11:21:00,upi,pos,MRC3743,Fuel,INR,no,Chandigarh,CH,103.178.151.217,DEV_89555,Web,9.78,yes,0,6,15292,8.72,2,no,RCV5344,ICICI,Wallet,Unknown,no,none,none
TXN000023,CUST869,ACC66655,1047,41,verified,16586,2025-01-28 04:36:00,pos,mobile,MRC6386,Grocery,INR,no,Hyderabad,TS,103.82.66.7,DEV_10291,Web,48.61,yes,1,14,28126,0.59,4,no,RCV3821,HDFC,Savings,Unknown,no,none,none
TXN000024,CUST443,ACC47534,108,56,verified,90356,2025-01-07 01:35:00,pos,mobile,MRC4990,Food,INR,no,Chandigarh,CH,103.25.45.231,DEV_53922,iOS,184.44,yes,7,28,28025,3.22,1,no,RCV1684,HDFC,Savings,Unknown,no,none,none
TXN000025,CUST591,ACC49390,42,88,verified,74582,2025-01-04 20:56:00,upi,pos,MRC4482,Electronics,INR,no,Delhi,DL,103.222.220.94,DEV_41309,Android,6.5,yes,0,37,1596,46.7,1,yes,RCV9434,AXIS,Current,High-risk,no,none,none
TXN000026,CUST513,ACC81629,1469,16,verified,12349,2025-02-05 15:52:00,neft,internet,MRC2822,Grocery,INR,no,Chennai,TN,103.82.174.147,DEV_67268,Android,141.27,yes,7,3,665,18.54,5,no,RCV2581,BOB,Current,New,no,none,none
TXN000027,CUST905,ACC65856,266,12,verified,154359,2025-02-06 00:15:00,credit,mobile,MRC4943,Electronics,INR,no,Noida,UP,103.44.213.156,DEV_24539,Web,85.27,no,6,28,29250,5.28,1,no,RCV6852,KOTAK,Wallet,Known,no,none,none
TXN000028,CUST485,ACC59252,43,66,verified,184785,2025-01-06 16:46:00,neft,internet,MRC2345,Electronics,INR,no,Kolkata,WB,103.172.10.0,DEV_84883,iOS,141.51,yes,1,15,12152,15.2,5,no,RCV2113,BOB,Current,High-risk,no,none,none
TXN000029,CUST291,ACC65809,28,62,pending,39164,2025-01-19 02:02:00,atm,atm,MRC1875,Fuel,INR,no,Nagpur,MH,103.136.209.0,DEV_11010,Web,114.02,yes,6,15,29384,1.33,0,no,RCV9932,SBI,Current,Unknown,no,none,none
TXN000030,CUST376,ACC32259,1697,19,verified,121353,2025-01-17 21:37:00,pos,atm,MRC3415,Food,INR,no,Kolkata,WB,103.196.54.238,DEV_84827,Android,47.28,no,0,4,17795,6.82,2,no,RCV7757,HDFC,Wallet,High-risk,no,none,none
TXN000031,CUST260,ACC30655,1293,30,verified,173962,2025-02-09 23:48:00,neft,pos,MRC9967,Electronics,INR,no,Noida,UP,103.203.219.23,DEV_41007,iOS,73.33,yes,6,17,808,215.03,2,yes,RCV8187,SBI,Savings,New,no,none,none
TXN000032,CUST559,ACC43005,1709,16,verified,77537,2025-02-05 22:46:00,upi,branch,MRC4904,Grocery,INR,no,Nagpur,MH,103.228.119.29,DEV_85135,Android,171.67,yes,8,20,28809,2.69,4,no,RCV6988,HDFC,Savings,New,no,none,none
TXN000033,CUST413,ACC41629,598,88,verified,46883,2025-01-24 18:46:00,atm,internet,MRC5504,Clothing,INR,no,Noida,UP,103.210.166.39,DEV_37744,iOS,65.54,yes,0,24,28370,1.65,1,no,RCV6585,SBI,Current,Unknown,no,none,none
TXN000034,CUST121,ACC33610,1859,13,verified,196790,2025-01-07 15:34:00,neft,branch,MRC1407,Fuel,INR,no,Noida,UP,103.58.239.52,DEV_23031,Android,14.27,no,4,0,26615,7.39,2,yes,RCV9644,ICICI,Current,High-risk,no,none,none
TXN000035,CUST352,ACC67184,1449,69,incomplete,42371,2025-02-09 20:35:00,debit,branch,MRC4806,Electronics,INR,no,Noida,UP,103.84.22.241,DEV_31311,Web,57.93,yes,7,35,14203,2.98,0,no,RCV8996,ICICI,Savings,High-risk,no,none,none
TXN000036,CUST847,ACC31602,146,23,verified,155519,2025-01-30 20:58:00,upi,internet,MRC8794,Online Marketplace,INR,no,Mumbai,MH,103.2.200.141,DEV_41120,iOS,65.07,yes,4,5,19689,7.9,1,no,RCV5329,ICICI,Current,New,yes,UPI phishing,customer_complaint
TXN000037,CUST956,ACC95945,368,62,incomplete,55242,2025-02-07 13:10:00,atm,branch,MRC7909,Bills,INR,no,Noida,UP,103.30.246.5,DEV_65178,Web,138.31,no,6,3,5929,9.32,3,yes,RCV2680,AXIS,Wallet,Known,no,none,none
TXN000038,CUST660,ACC21110,1753,31,verified,60783,2025-01-25 08:02:00,upi,mobile,MRC1307,Online Marketplace,INR,no,Noida,UP,103.128.202.182,DEV_74313,iOS,120.11,yes,1,3,1848,32.87,0,no,RCV9631,AXIS,Current,High-risk,no,none,none
TXN000039,CUST574,ACC16073,763,53,verified,93906,2025-01-25 06:09:00,debit,atm,MRC5158,Online Marketplace,INR,no,Hyderabad,TS,103.235.212.117,DEV_85177,Web,158.11,no,0,0,20589,4.56,3,no,RCV7459,SBI,Current,Known,no,none,none
TXN000040,CUST158,ACC90818,1612,17,verified,104626,2025-01-14 21:12:00,debit,pos,MRC9268,Fuel,INR,no,Surat,GJ,103.17.87.121,DEV_89849,Web,298.19,yes,4,32,28354,3.69,0,no,RCV8924,ICICI,Wallet,Unknown,no,none,none
TXN000041,CUST610,ACC20195,1149,49,incomplete,60891,2025-02-04 13:15:00,debit,internet,MRC5046,Bills,INR,no,Hyderabad,TS,103.69.238.33,DEV_78012,iOS,44.29,yes,0,2,16519,3.69,0,no,RCV2832,HDFC,Current,High-risk,no,none,none
TXN000042,CUST781,ACC11537,413,49,verified,3768,2025-01-03 19:23:00,credit,pos,MRC8967,Fuel,INR,no,Bengaluru,KA,103.199.144.30,DEV_73024,Web,103.44,yes,3,6,2331,1.62,2,yes,RCV2472,AXIS,Wallet,Known,no,none,none
TXN000043,CUST575,ACC27138,1235,67,incomplete,50867,2025-01-28 19:02:00,neft,atm,MRC1364,Grocery,INR,no,Pune,MH,103.93.235.123,DEV_15710,iOS,93.91,yes,8,15,4896,10.39,4,no,RCV6163,HDFC,Current,New,no,none,none
TXN000044,CUST799,ACC54328,1409,26,verified,166002,2025-01-21 07:44:00,atm,pos,MRC2959,Grocery,INR,no,Hyderabad,TS,103.221.1.156,DEV_63887,Android,118.19,yes,2,22,4407,37.66,3,no,RCV6568,AXIS,Savings,Known,no,none,none
TXN000045,CUST882,ACC56202,259,13,verified,41839,2025-02-02 04:09:00,pos,internet,MRC5135,Bills,INR,no,Pune,MH,103.143.68.197,DEV_75293,iOS,154.84,yes,6,15,21722,1.93,3,no,RCV1719,AXIS,Current,Unknown,no,none,none
TXN000046,CUST289,ACC50164,455,38,verified,122343,2025-02-07 20:41:00,credit,pos,MRC9857,Travel,INR,no,Bengaluru,KA,103.244.81.76,DEV_64282,Android,140.94,yes,3,0,4088,29.92,4,no,RCV8053,ICICI,Savings,Known,yes,Card theft,customer_complaint
TXN000047,CUST786,ACC99743,963,22,verified,181382,2025-01-14 19:16:00,pos,branch,MRC4588,Bills,INR,no,Bhopal,MP,103.162.185.131,DEV_26714,Android,98.81,yes,8,1,20570,8.82,1,no,RCV1393,AXIS,Savings,Unknown,no,none,none
TXN000048,CUST662,ACC64659,287,85,verified,35266,2025-01-22 11:29:00,imps,branch,MRC9916,Electronics,INR,no,Hyderabad,TS,103.7.32.181,DEV_57601,iOS,97.01,yes,5,10,20105,1.75,1,no,RCV3389,ICICI,Savings,High-risk,no,none,none
TXN000049,CUST975,ACC96155,121,29,verified,142368,2025-01-20 03:34:00,imps,atm,MRC4527,Online Marketplace,INR,no,Bengaluru,KA,103.74.134.24,DEV_42015,Android,199.38,yes,4,0,4265,33.37,2,no,RCV4655,BOB,Wallet,High-risk,no,none,none
TXN000050,CUST666,ACC59692,1996,45,pending,149886,2025-01-09 04:24:00,pos,branch,MRC9405,Fuel,INR,no,Hyderabad,TS,103.146.185.59,DEV_30353,Web,68.24,yes,9,13,29651,5.05,4,no,RCV7948,BOB,Wallet,New,no,none,none
TXN000051,CUST343,ACC34845,1876,46,verified,176864,2025-01-07 09:16:00,pos,pos,MRC3006,Travel,INR,no,Chandigarh,CH,103.194.105.163,DEV_36458,Android,15.25,no,1,1,29295,6.04,3,no,RCV2884,AXIS,Savings,Unknown,no,none,none
TXN000052,CUST931,ACC99846,1506,39,pending,182083,2025-01-05 16:34:00,pos,mobile,MRC9280,Bills,INR,no,Indore,MP,103.192.102.58,DEV_74607,iOS,96.07,yes,4,31,23759,7.66,2,no,RCV7711,SBI,Wallet,Unknown,no,none,none
TXN000053,CUST604,ACC40562,755,69,verified,176752,2025-02-02 09:07:00,upi,pos,MRC2606,Grocery,INR,no,Surat,GJ,103.233.226.244,DEV_37921,Web,119.86,no,2,29,15509,11.4,1,no,RCV7227,ICICI,Current,New,no,none,none
TXN000054,CUST230,ACC38036,697,78,verified,185353,2025-01-20 05:44:00,upi,mobile,MRC6965,Food,INR,no,Hyderabad,TS,103.10.45.91,DEV_89596,Web,96.87,no,8,31,1963,94.38,3,yes,RCV7150,HDFC,Savings,New,no,none,none
TXN000055,CUST584,ACC70752,401,82,verified,53128,2025-02-06 07:26:00,upi,pos,MRC5479,Fuel,INR,no,Gurgaon,HR,103.70.77.84,DEV_24009,iOS,19.34,yes,7,15,6852,7.75,2,no,RCV5148,KOTAK,Current,New,no,none,none
TXN000056,CUST918,ACC84233,978,68,verified,158238,2025-02-02 22:41:00,pos,mobile,MRC2192,Food,INR,no,Indore,MP,103.5.227.224,DEV_23045,iOS,6.7,yes,2,26,14217,11.13,3,no,RCV1653,ICICI,Wallet,New,no,none,none
TXN000057,CUST746,ACC93049,152,97,verified,129749,2025-01-21 09:56:00,credit,mobile,MRC5530,Food,INR,no,Noida,UP,103.134.252.188,DEV_66909,Android,71.17,yes,7,36,8574,15.13,2,no,RCV6553,HDFC,Wallet,Unknown,no,none,none
TXN000058,CUST120,ACC78681,1065,39,incomplete,64731,2025-01-12 22:38:00,neft,internet,MRC8877,Online Marketplace,INR,no,Hyderabad,TS,103.59.158.113,DEV_11476,Web,24.14,yes,2,29,1905,33.96,1,no,RCV6820,SBI,Wallet,Known,yes,Merchant fraud,system_alert
TXN000059,CUST940,ACC37818,190,20,verified,100520,2025-01-07 01:23:00,debit,internet,MRC3655,Bills,INR,no,Bengaluru,KA,103.218.22.128,DEV_30096,Android,97.87,yes,9,0,22421,4.48,4,no,RCV1435,AXIS,Savings,High-risk,no,none,none
TXN000060,CUST266,ACC40544,588,77,incomplete,43381,2025-01-24 06:46:00,upi,pos,MRC1318,Bills,INR,no,Nagpur,MH,103.168.89.35,DEV_45470,iOS,69.41,yes,9,10,16195,2.68,3,no,RCV9288,AXIS,Savings,High-risk,no,none,none
TXN000061,CUST373,ACC72532,1549,68,pending,49811,2025-02-04 03:17:00,upi,branch,MRC4165,Fuel,INR,no,Kolkata,WB,103.184.34.49,DEV_29267,Android,31.75,yes,4,32,29701,1.68,0,no,RCV8471,SBI,Current,Unknown,no,none,none
TXN000062,CUST487,ACC88636,807,35,verified,71077,2025-01-29 20:24:00,neft,internet,MRC8537,Travel,INR,no,Gurgaon,HR,103.110.52.194,DEV_14054,Web,31.59,yes,3,28,19341,3.67,2,yes,RCV4172,KOTAK,Wallet,Unknown,no,none,none
TXN000063,CUST700,ACC67705,278,8,verified,178196,2025-01-26 07:24:00,imps,mobile,MRC6172,Travel,INR,no,Chandigarh,CH,103.245.211.179,DEV_55694,Android,14.3,no,0,27,15205,11.72,0,no,RCV4917,ICICI,Wallet,New,no,none,none
TXN000064,CUST415,ACC30104,1269,52,verified,91597,2025-01-13 10:38:00,pos,pos,MRC5960,Fuel,INR,no,Indore,MP,103.169.148.157,DEV_18411,iOS,30.2,no,7,28,9154,10.01,0,no,RCV6237,BOB,Current,Known,no,none,none
TXN000065,CUST113,ACC79603,1310,40,verified,182941,2025-02-01 20:12:00,debit,branch,MRC2546,Clothing,INR,no,Chennai,TN,103.252.62.37,DEV_89982,iOS,15.08,yes,6,17,13845,13.21,2,no,RCV2551,HDFC,Wallet,Unknown,no,none,none
TXN000066,CUST341,ACC69025,562,36,verified,10246,2025-02-05 03:56:00,credit,pos,MRC8689,Bills,INR,no,Gurgaon,HR,103.41.121.93,DEV_47034,iOS,135.68,yes,4,37,4893,2.09,0,no,RCV9856,BOB,Savings,New,no,none,none
TXN000067,CUST876,ACC42317,642,6,verified,164529,2025-01-21 03:47:00,neft,mobile,MRC5828,Online Marketplace,INR,no,Kolkata,WB,103.25.5.214,DEV_63308,Android,6.39,yes,4,10,10391,15.83,0,no,RCV5836,AXIS,Savings,Known,no,none,none
TXN000068,CUST445,ACC41416,284,86,verified,98902,2025-01-02 13:46:00,debit,internet,MRC1987,Electronics,INR,no,Indore,MP,103.134.126.92,DEV_20316,Android,58.0,yes,4,17,6134,16.12,1,no,RCV4278,BOB,Savings,Known,yes,Mule account,system_alert
TXN000069,CUST664,ACC52012,752,70,verified,55599,2025-01-02 16:14:00,imps,internet,MRC9615,Food,INR,no,Pune,MH,103.235.147.202,DEV_91423,Android,20.72,yes,1,25,29590,1.88,1,no,RCV3410,AXIS,Current,New,no,none,none
TXN000070,CUST997,ACC78045,1849,73,verified,16413,2025-02-01 21:44:00,credit,atm,MRC8414,Travel,INR,no,Hyderabad,TS,103.133.211.177,DEV_46906,iOS,59.47,yes,6,22,21051,0.78,1,no,RCV6679,HDFC,Savings,Unknown,no,none,none
TXN000071,CUST439,ACC31400,95,16,verified,27498,2025-02-04 12:32:00,pos,atm,MRC7289,Fuel,INR,no,Noida,UP,103.26.221.79,DEV_63193,iOS,38.62,yes,8,34,27664,0.99,3,no,RCV7744,ICICI,Current,High-risk,no,none,none
TXN000072,CUST191,ACC58270,1096,46,verified,124618,2025-01-15 11:23:00,atm,pos,MRC6201,Grocery,INR,no,Nagpur,MH,103.175.247.160,DEV_49352,Web,117.65,yes,0,35,26345,4.73,1,no,RCV5218,HDFC,Savings,High-risk,no,none,none
TXN000073,CUST466,ACC82069,413,59,pending,140496,2025-01-24 16:06:00,pos,pos,MRC6934,Grocery,INR,no,Ahmedabad,GJ,103.206.223.84,DEV_96655,iOS,153.68,yes,2,9,22513,6.24,3,yes,RCV5247,SBI,Savings,Known,yes,Merchant fraud,customer_complaint
TXN000074,CUST554,ACC59833,201,38,verified,138604,2025-01-02 18:32:00,pos,branch,MRC1374,Clothing,INR,no,Mumbai,MH,103.226.181.103,DEV_50507,Android,121.53,yes,4,24,8252,16.79,2,no,RCV8194,AXIS,Wallet,High-risk,no,none,none
TXN000075,CUST527,ACC73644,1326,97,verified,20967,2025-01-16 18:24:00,upi,internet,MRC9238,Fuel,INR,no,Indore,MP,103.128.153.115,DEV_27788,Web,44.45,yes,0,22,14435,1.45,3,yes,RCV6785,KOTAK,Savings,High-risk,no,none,none
TXN000076,CUST608,ACC90206,1064,18,pending,165531,2025-01-27 12:26:00,credit,internet,MRC1499,Electronics,INR,no,Jaipur,RJ,103.227.218.117,DEV_37909,Android,55.55,no,2,13,28266,5.86,1,yes,RCV1538,SBI,Wallet,New,no,none,none
TXN000077,CUST875,ACC79468,1363,12,verified,31071,2025-02-02 04:43:00,imps,atm,MRC7650,Grocery,INR,no,Bhopal,MP,103.80.191.59,DEV_47467,iOS,41.61,yes,6,17,19845,1.57,5,yes,RCV7775,BOB,Wallet,High-risk,no,none,none
TXN000078,CUST134,ACC69473,1691,54,verified,112727,2025-01-14 08:44:00,debit,mobile,MRC8758,Bills,INR,no,Delhi,DL,103.14.238.149,DEV_11580,Web,122.74,yes,2,31,22468,5.02,5,yes,RCV2236,BOB,Wallet,High-risk,yes,Account takeover,system_alert
TXN000079,CUST305,ACC55809,116,91,verified,50859,2025-01-28 10:08:00,credit,mobile,MRC6243,Electronics,INR,no,Bengaluru,KA,103.25.136.32,DEV_77816,Android,100.9,no,8,6,11920,4.27,3,no,RCV6399,BOB,Savings,New,no,none,none
TXN000080,CUST180,ACC48328,1904,47,incomplete,167664,2025-01-22 21:37:00,imps,atm,MRC3392,Fuel,INR,no,Delhi,DL,103.59.186.10,DEV_15107,iOS,12.54,no,1,14,9497,17.65,0,no,RCV6031,AXIS,Savings,High-risk,no,none,none
TXN000081,CUST661,ACC46784,631,1,incomplete,122343,2025-01-24 12:05:00,neft,pos,MRC5524,Fuel,INR,no,Surat,GJ,103.146.251.148,DEV_15340,Android,84.77,yes,9,32,20904,5.85,1,yes,RCV7569,SBI,Savings,New,no,none,none
TXN000082,CUST971,ACC33723,285,15,verified,91927,2025-01-16 03:43:00,pos,internet,MRC6550,Food,INR,no,Kolkata,WB,103.169.1.10,DEV_96597,Android,107.13,yes,8,13,28039,3.28,2,no,RCV9049,KOTAK,Savings,Known,no,none,none
TXN000083,CUST487,ACC70646,1755,91,verified,184178,2025-01-02 18:06:00,credit,internet,MRC6151,Fuel,INR,no,Chennai,TN,103.178.241.190,DEV_11280,Android,82.88,yes,1,1,18303,10.06,0,no,RCV2475,ICICI,Current,Unknown,no,none,none
TXN000084,CUST101,ACC76255,660,80,verified,110555,2025-02-03 19:09:00,upi,internet,MRC3033,Electronics,INR,no,Bhopal,MP,103.131.135.46,DEV_77228,Web,46.34,yes,9,13,3464,31.91,1,yes,RCV5495,HDFC,Wallet,High-risk,no,none,none
TXN000085,CUST489,ACC10074,1631,21,verified,172241,2025-01-23 13:41:00,neft,mobile,MRC5882,Clothing,INR,no,Pune,MH,103.8.231.169,DEV_31105,Android,15.69,yes,9,35,8927,19.29,3,no,RCV7508,AXIS,Current,High-risk,no,none,none
TXN000086,CUST665,ACC36498,565,1,verified,30391,2025-01-24 06:09:00,debit,pos,MRC4863,Travel,INR,no,Ahmedabad,GJ,103.169.128.216,DEV_17928,Web,9.8,yes,7,26,13594,2.24,0,yes,RCV1735,ICICI,Current,High-risk,no,none,none
TXN000087,CUST205,ACC75522,1115,93,verified,148324,2025-01-30 07:24:00,neft,mobile,MRC3990,Grocery,INR,no,Pune,MH,103.132.111.205,DEV_34331,Android,266.43,yes,5,6,19814,7.49,2,no,RCV9106,ICICI,Savings,Unknown,no,none,none
TXN000088,CUST871,ACC30541,1097,67,verified,129316,2025-01-05 00:41:00,debit,pos,MRC9437,Grocery,INR,no,Nagpur,MH,103.97.72.61,DEV_35450,Android,68.42,yes,8,27,12977,9.96,4,no,RCV1621,AXIS,Wallet,Unknown,no,none,none
TXN000089,CUST921,ACC55929,1923,12,verified,65774,2025-01-16 13:57:00,credit,atm,MRC4412,Clothing,INR,no,Ahmedabad,GJ,103.225.111.16,DEV_81237,Web,238.2,no,0,9,21637,3.04,1,no,RCV8116,ICICI,Wallet,Unknown,no,none,none
TXN000090,CUST576,ACC36028,1963,28,verified,49472,2025-01-23 04:37:00,neft,pos,MRC1303,Food,INR,no,Bhopal,MP,103.98.101.162,DEV_71319,iOS,237.45,yes,2,5,16363,3.02,2,no,RCV3128,SBI,Current,High-risk,no,none,none
TXN000091,CUST802,ACC39545,1888,39,verified,184251,2025-01-01 22:25:00,imps,mobile,MRC3024,Clothing,INR,no,Chennai,TN,103.101.114.191,DEV_38095,Web,80.04,no,6,27,23096,7.98,3,no,RCV7672,SBI,Savings,High-risk,no,none,none
TXN000092,CUST501,ACC89569,1866,37,verified,51639,2025-01-01 12:25:00,upi,internet,MRC1449,Clothing,INR,no,Chandigarh,CH,103.110.217.113,DEV_34290,Android,12.23,no,6,2,2836,18.2,5,no,RCV7620,HDFC,Current,Known,no,none,none
TXN000093,CUST829,ACC41673,576,95,incomplete,2625,2025-01-10 06:06:00,pos,mobile,MRC1533,Travel,INR,no,Noida,UP,103.161.115.125,DEV_34217,iOS,19.22,yes,5,29,4061,0.65,4,no,RCV1513,KOTAK,Current,High-risk,no,none,none
TXN000094,CUST655,ACC40974,595,60,verified,119842,2025-01-06 15:24:00,upi,atm,MRC3471,Electronics,INR,no,Bengaluru,KA,103.242.119.176,DEV_35344,Android,11.56,yes,7,33,5725,20.93,0,no,RCV8642,KOTAK,Current,Known,no,none,none
TXN000095,CUST261,ACC68899,894,31,verified,9737,2025-01-04 21:19:00,credit,internet,MRC7181,Electronics,INR,no,Bengaluru,KA,103.197.101.196,DEV_82346,Web,10.58,yes,8,39,26604,0.37,2,no,RCV5894,ICICI,Savings,Known,no,none,none
TXN000096,CUST301,ACC33097,138,58,verified,48424,2025-01-24 08:45:00,atm,mobile,MRC3578,Bills,INR,no,Hyderabad,TS,103.11.13.9,DEV_73983,iOS,119.68,yes,6,25,16213,2.99,0,no,RCV2641,KOTAK,Savings,Unknown,no,none,none
TXN000097,CUST369,ACC74824,265,97,verified,56208,2025-01-18 03:49:00,neft,internet,MRC9082,Food,INR,no,Indore,MP,103.157.202.75,DEV_44462,Web,75.58,yes,3,35,7600,7.39,0,yes,RCV2087,ICICI,Wallet,High-risk,no,none,none
TXN000098,CUST962,ACC33525,943,97,verified,34477,2025-01-27 02:21:00,credit,atm,MRC3652,Clothing,INR,no,Delhi,DL,103.167.154.192,DEV_19065,Web,105.0,yes,8,2,15092,2.28,2,no,RCV8065,ICICI,Current,New,no,none,none
