Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
senior data analyst,101165.0,"job requisition id #
20wd38079
job title
senior data analyst
job description

senior data analyst
location: san francisco, ca- united states
job id: 20wd38079

position overview
autodesk is seeking an experienced data analyst to join the data science team in our data platform and insights group. the data platform and insights group is chartered with building innovative data products and analytics solutions for autodesk’s strategy, marketing, sales and customer support teams.

data analysts will play a critical role in discovering and communicating data-driven insights to inspire product improvements.

responsibilities
leverage data mining techniques to find key business insights
partner with data scientists to improve data science models
collaborate with product managers to explore new product ideas or enhancements
build reporting to measure progress in key initiatives
become an expert in autodesk data
work as an individual contributor with opportunities for management as we grow the team
minimum qualifications
2+ years in an analyst role
strong sql coding skills and comfortable using it everyday
experience working in python or r
experience building data visualizations via python/r or a business intelligence tool
preferred qualifications
familiarity with data science concepts
experience working in git
experience using big data platforms (hadoop, spark, hive)
a/b testing experience
ideal candidate
are interested in learning about data science
have a strong attention to detail and care deeply about data quality
proactively reach out to stakeholders to understand data better
enjoy collaborating with team members to drive impact
are a strong communicator; you can adjust communication for technical stakeholders and non-technical stakeholders

at autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. we also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

are you an existing contractor or consultant with autodesk? please search for open jobs and apply internally (not on this external site). if you have any questions or require support, contact autodesk careers.",4.0,"autodesk
4.0","san francisco, ca","san rafael, ca",5001 to 10000 employees,1982,company - public,computer hardware & software,information technology,25.0,-1
senior data analyst,101165.0,"secure our nation, ignite your future

job summary

each day u.s. customs and border protection (cbp) oversees the massive flow of people, capital, and products that enter and depart the united states via air, land, sea, and cyberspace. the volume and complexity of both physical and virtual border crossings require the application of big data solutions to promote efficient trade and travel. further, effective big data solutions help cbp ensure the movement of people, capital, and products is legal, safe, and secure.

in response to this challenge, mantech, as a trusted mission partner of cbp, seeks a capable, qualified, and versatile chief data scientist to lead the development and delivery of high-quality predictive modelling solutions. a successful applicant will serve as recognized subject matter expert in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. they will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. the products we develop provide actionable insight with real and immediate impact on the safety and security of the united states, its citizens, visitors, and economy.

required qualifications
significant experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems in dynamic, threat/risk driven operating environments.
proficiency with unsupervised machine learning methods including cluster analysis (e.g., k-means, k-nearest neighbor, hierarchical, deep belief networks, principal component analysis), segmentation, etc.
proficiency with supervised machine learning methods including decision trees, support vector machines, logistic regression, random/rotation forests, categorization/classification, neural nets, bayesian networks, etc.
proficiency with statistical software packages: sas, spss modeler, r, weka, or equivalent.
experience with programming languages: r, python, scala, java, sql, or equivalent.
experience constructing and executing queries to extract data in support of eda and model development.
experience with unsupervised and supervised machine learning techniques and methods.
experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases.
experience performing data mining, analysis, and training set construction.
experience working in a team and deploying solutions in an iterative or agile/devops continuous integration and delivery environment using lifecycle management methods and tools.
strong ability to work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.
masters or ph.d. degree in operations research, industrial engineering, physics, mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience.
desired qualifications
experience with big data technologies (e.g., hadoop, hive, hdfs, hbase, mapreduce, spark, kafka, sqoop).
experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
experience with visualization tools and techniques (e.g., periscope, business objects, d3, ggplot, tableau, sas visual analytics, powerbi).
clearance: active top secret
clearance:

selected applicants must be a us citizen and able to obtain and maintain a u.s. customs and border protection (cbp) suitability.

#li-fa1

mantech international corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. we do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a disabled veteran, recently separated veteran, active duty wartime or campaign badge veteran, armed forces services medal, or any other characteristic protected by law.

if you require a reasonable accommodation to apply for a position with mantech through its online applicant system, please contact mantech's corporate eeo department at (703) 218-6000. mantech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. mantech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. mantech does not accept resumes from unsolicited recruiting firms. we pay no fees for unsolicited services.

if you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/pages/careers.aspx as a result of your disability. to request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"autodesk
4.0","san francisco, ca","herndon, va",5001 to 10000 employees,1968,company - public,research & development,business services,12.0,-1
data engineer,101165.0,"job number: 10202
group: cosma international
division: kamtek casting
job type: permanent/regular
location: birmingham

group description

cosma provides a comprehensive range of body, chassis and engineering solutions to global customers. through our robust product engineering, outstanding tooling capabilities and diverse process expertise, we continue to bring lightweight and innovative products to market.
company overview
kamtek is a premier tier 1, automotive manufacturing supplier that specializes in class “a” stamping, assembly and high pressure die casting that produces body-side and door openings, roofs, floor pans, wheelhouses, large welded assemblies, doors, fenders, hoods, lift-gates, aluminum shock towers, and aluminum rear rails. our capabilities include the manufacturing of class “a” body panels along with medium/large stampings, large assemblies and aluminum stampings and assemblies, and aluminum high pressure vacuum die casting to our original equipment manufacturers (oems) such as mer­cedes benz, volkswagen, kia, hyundai, nissan, bmw and freightliner. as a local distributor and supplier, kamtek’ s market segmentation to cosma international, (a division of magna international) provides a “state-of-the-art” product that utilizes the most technologically advanced pressing processes in order to maintain a competitive advantage to other oem’s within the market. our company’s culture of team spirit & mutual respect with a focus on fair treatment helps us to embrace our multi-cultural affiliation with magna international, and supports our mission through process efficiency and competitive product pricing. furthermore, the culture at kamtek focuses on job security, with employees being given the opportunity for continuous training, advancement within the skill/trade, and potential for growth within our safe work environment. we offer employee equity and profit participation programs which increase our employees’ ownership within the company. kamtek, part of cosma international and a division of magna international, represents the most diversified automotive supplier in the world. we design, develop and manufacture automotive systems, assemblies, modules and components, and engineer and assemble complete vehicles, primarily for sale to original equipment manufacturers (oems) of cars and light trucks in our three geographic segments - north america, europe, and the rest of the world (primarily asia, south america and africa). our capabilities include the design, engineering, testing and manufacture of automotive interior systems; seating systems; closure systems; metal body & chassis systems; mirror systems; exterior systems; roof systems; electronic systems; powertrain systems as well as complete vehicle engineering and assembly. we are a leading global automotive supplier with 347 manufacturing operations and 92 product development, engineering and sales centres in 28 countries. we have over 168,000 employees focused on delivering superior value to our customers through innovative processes and world class manufacturing.
role summary
the hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. the ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. the data engineer will support our team on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. they must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. the right candidate will be excited by the prospect of optimizing or even re-designing our division’s data architecture to support our next generation of products and data initiatives
key responsibilities
1. create and maintain optimal data pipeline architecture,

2.assemble large, complex data sets that meet functional / non-functional business requirements.

3.identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.

4.build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using sql and aws ‘big data’ technologies.

5.build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.

6.work with stakeholders including the executive, product, data and design teams to assist with data-related technical issues and support their data infrastructure needs.

7.keep our data separated and secure across national boundaries through multiple data centers and aws regions.

8.create data tools for analytics and team members that assist them in building and optimizing our product into an innovative industry leader.

9.work with data and analytics experts to strive for greater functionality in our data systems.

10.perform other duties as required.
key qualifications/requirements
advanced working sql knowledge and experience working with relational databases, query authoring (sql) as well as working familiarity with a variety of databases.
experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
strong analytic skills related to working with unstructured datasets.
build processes supporting data transformation, data structures, metadata, dependency and workload management.
a successful history of manipulating, processing and extracting value from large disconnected datasets.
working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
strong project management and organizational skills.
experience with relational sql and nosql databases.
experience with data pipeline and workflow management tools.
experience with aws cloud services: ec2, emr, rds, redshift
experience with stream-processing systems: storm, spark-streaming, etc.
experience with object-oriented/object function scripting languages: python, java, c++, scala, etc
knowledge and education
education: bachelor's degree in computer science, information technology, or applied math

technical training: data engineering certifications like ibm certified data engineer or google's certified professional

experience: experience supporting and working with cross-functional teams in a dynamic environment. we are looking for a candidate with 5+ years of experience in a data engineer role, who has attained a degree in computer science, statistics, informatics, information systems or another quantitative field. they should also have experience using the following software/tools: •experience with big data tools: hadoop, spark, kafka, etc.",3.5,"magna international inc.
3.5","birmingham, al","aurora, canada",10000+ employees,1957,company - public,-1,-1,10.0,"bosch, lear corporation, faurecia"
sr data analyst,101165.0,"position location: lake mary, florblue bell, pa

position summary
the senior data analyst drives pharma client analytics solutions for united biosource corporation (ubc), supporting many of the world’s largest pharmaceutical companies to improve patient lives, support drug safety programs, and help manage new clinical studies.

responsibilities

· build and continually improve tableau dashboard offerings for business partners.

· monitor and analyze business performance, providing targeted dashboards and recommendations for operational improvement.

· serve as subject matter expert (sme) for business data, systems and processes under team’s area of support.

· write and edit sql code to ensure data is pulled optimally.

required qualifications

· bs in a technical field (bi, analytics, data science, is, computer science, etc).

· advanced sql skills.

· advanced dashboard design skills, including 2+ years of experience with a dashboard toolset (tableau, qlik, domo, birst, etc).

· 2+ years of data analysis experience.

· excellent communication and presentation ability.

· excellent project management skills.

· highly self-motivated.

preferred qualifications

· ms in a data-related field (bi, analytics, data science, etc).

· expert-level sql skills

· expert-level tableau skills.

· advanced r skills.

· healthcare (ideally pharma) experience.

·minimal travel is required (

#li-sf1",2.3,"united biosource
2.3","blue bell, pa","blue bell, pa",1001 to 5000 employees,2003,other organization,biotech & pharmaceuticals,biotech & pharmaceuticals,100500.0,"covance, icon"
data scientist,101165.0,"kelly services is seeking a data scientist for a leading hospital and health care company in chicago, il.

job title: data scientist

location: chicago, il

type: contract (w2)
length: 6 months (possibility of extension)

pay rate: $45/hr

job purpose: this position is responsible for employing advanced analytical techniques to create and drive adoption of data-based products and processes to add business value for internal and external customers. they will use data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights. they will leverage domain expertise and communication skills to identify data-based solutions to customer needs, and present and explain technical findings to non-technical audiences to promote data-driven decision making. they will create analytical processes for automated machine driven decision making where human decision making is not scalable or feasible.

job responsibilities:
apply data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights.
leverage domain expertise and communication skills to identify data-based solutions to customer needs.
develop, create, and implement data-based products and processes to add business value for internal and external customers.
develop, create, and implement analytical processes for automated machine driven decision making where human decision making is not scalable or feasible.
present and explain technical findings to non-technical audiences to promote data-driven decision making.
identify new data sources, drive collection of data, and identify use cases for existing data sources.
document steps and data sources and ensure that models and processes are easily understandable and maintainable.
document steps and data sources and ensure that models and processes are easily understandable and maintainable.
communicate and interact effectively and professionally with co-workers, management, customers, etc.
comply with hipaa, diversity principles, corporate integrity, compliance program policies and other applicable corporate and departmental policies.
maintain communication with management regarding development within areas of assigned responsibilities and perform special projects as required or requested.
job qualifications:

* bachelor’s degree and 3 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; or actuarial credential or master’s degree and 2 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; or ph.d. in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; or 6 years
experience in an advanced mathematical, statistical, computer science, engineering, physics, economics or related quantitative field.
strong learning and growth mindset
customer-focused
strong interpersonal, verbal and written communication skills.
must demonstrate proficiency in at least four of the following six areas: 1) data analysis and relational-style query languages; 2) machine learning and/or statistical modeling; 3) data visualization; 4) a high-level programming language; 5) distributed computing; 6) understanding of healthcare.
proficiency with microsoft applications including access, excel, word and power point.
if this position is of interest to you please share your updated word profile at shai879@kellyservices.com and advise the best time and number at which you can be reached.

shazneen irani
professional technical recruiter
kelly services, inc.
shai879@kellyservices.com
kellyservices.com

why kelly®?


as a worker today, its up to you to take charge of your career and look for opportunities to learn, grow, and achieve your potential. helping you find whats next is what were all about. we know whats going on in the evolving world of workjust ask the nearly 500,000 people we employ each year. connecting with us means getting the support, guidance, and opportunities needed to take your career where you may have never imagined.

about kelly®


at kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. in fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. equal employment opportunity is the law.
#kellygts

]]",3.4,"kelly
3.4","chicago, il","troy, mi",5001 to 10000 employees,1946,company - public,staffing & outsourcing,business services,510.0,"adecco, manpowergroup, allegis corporation"
"machine learning scientist - bay area, ca",101165.0,"passionate about precision medicine and advancing the healthcare industry?

recent advancements in underlying technology have finally made it possible for ai to impact clinical care in a meaningful way. tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.

the ideal candidate has significant expertise in the biomedical or clinical domain, and is eager to apply his or her skills to improve patient outcomes.

what you will do:
analyze and integrate large diverse clinical, molecular and imaging datasets to extract insights, and drive research opportunities.
design and prototype novel analysis tools and algorithms for predicting patient outcome and treatment response.
collaborate with product, science, engineering, and business development teams to build the most advanced data platform in precision medicine.
interrogate analytical results for robustness, validity, and out of sample stability.
document, summarize, and present your findings to a group of peers and stakeholders.
required qualifications:
ms/phd degree in a quantitative discipline (e.g. statistical genetics, cancer genetics, machine learning, bioinformatics, statistics, computational biology, applied mathematics, physics, or similar).
outstanding analytical and problem solving skills, with a particular focus on understanding the intricacies of molecular or multi-modal data sets.
experience working with genomic, clinical, or imaging data.
experience with supervised and unsupervised machine learning algorithms, and ensemble methods, such as: pca, regression, deep neural networks, decision trees, gradient boosting, generalized linear models, mixed effect models, non-linear low dimensional embeddings and clustering.
proficient in python and sql.
experience with the following: pandas, numpy, scipy, scikit-learn, jupyter notebooks, and a machine learning framework such as tensorflow, sagemaker, or pytorch
strong programming skills.
thrive in a fast-paced environment and willing to shift priorities seamlessly.
experience with communicating insights and presenting concepts to diverse audiences.
team player mindset and ability to work in an interdisciplinary team.
goal orientation, self motivation, and drive to make a positive impact in healthcare.
preferred qualifications:
strong peer-reviewed publication record.
2+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data.
experience with: git, matplotlib, seaborn, html5, css3, javascript, d3, plot.ly, flask, dask, docker, aws.
experience working in a linux / mac and aws cloud environments.
experience in agile environments and comfort with quick iterations.",3.3,"tempus labs
3.3","redwood city, ca","chicago, il",501 to 1000 employees,2015,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,,-1
data scientist,101165.0,"c3.ai is a leading enterprise ai software provider for accelerating digital transformation. the comprehensive and proven c3 ai suite uses a model-driven abstraction layer to enable organizations to develop, deploy, and operate enterprise scale ai applications 40x to 100x faster than alternative approaches. www.c3.ai

as a data scientist, you will participate in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions to support our customers in operating the internet of things (iot). in addition, you will help find the appropriate machine learning / data mining algorithms to answer these questions. finally, you will be responsible for implementing this into the product and making it available to our customers.

qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. you will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve similar results at large-scale.

your responsibilities:
driving adoption of deep learning systems into next-generation of c3.ai products.
designing and deploying machine learning algorithms for industrial applications such as fraud detection and predictive maintenance.
collaborating with data and subject matter experts from c3.ai and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.
requirements:
ms or phd in computer science, electrical engineering, statistics, or equivalent fields.
applied machine learning experience (regression and classification, supervised, and unsupervised learning).
strong mathematical background (linear algebra, calculus, probability and statistics).
experience with scalable ml (mapreduce, streaming).
ability to drive a project and work both independently and in a team.
smart, motivated, can do attitude, and seeks to make a difference.
excellent verbal and written communication.
preferred
experience with javascript and prototyping languages such as python and r. experience with java and scala is a plus.
knowledge in electrical engineering and cyber-physical systems is a plus.
a portfolio of projects (github, papers, etc.) is a plus.
c3.ai provides a competitive compensation package and excellent benefits including:
competitive salary, generous stock options, 401k, medical, dental, and vision benefits. at the office, we offer a fully stocked kitchen with catered breakfast and lunch, table tennis and pool table, free membership at our on-site gym, friday evening social hours with food, drink and music and a fun team of great people.
c3.ai is proud to be an equal opportunity and affirmative action employer. we do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status.",4.7,"c3.ai
4.7","redwood city, ca","redwood city, ca",201 to 500 employees,2009,company - private,enterprise software & network solutions,information technology,100500.0,"ge digital, palantir technologies, uptake"
senior data scientist - algorithms,101165.0,"company description: quartet is a pioneering healthcare technology company striving to improve the lives of people with mental health conditions. we connect people to a personalized care team to get them the right care at the right time. our collaborative technology platform and range of services brings together physicians, mental health providers, and insurance companies to effectively improve patient outcomes and drive down healthcare costs. backed by $93mm in venture funding from top investors like oak hc/ft, gv (formerly google ventures), f-prime capital partners, and polaris partners, quartet is headquartered in nyc and is currently operating in several markets across the united states — pennsylvania, washington, northern california, and new jersey.

role description: as a sr. data scientist at quartet, you will work in collaboration with other data scientists, bioinformaticians and platform engineers. in this role, you will build machine learning models and recommendation services to enable our applications to suggest timely and appropriate behavioral health care interventions for patients. you'll work with datasets that include millions of detailed medical, pharmacy, lab claims, ehr, and application data. you will help with development and validation of new algorithms that enhance our system in terms of scalability, reliability and accuracy. the ideal candidate will be an entrepreneurial, motivated data scientist who is well-versed in data analysis and algorithm implementation and eager to learn new things and make an impact on the industry. health data experience is a plus, but it's not necessary.

responsibilities:
work with an interdisciplinary technical team to develop statistical models in quartet’s platform.
apply data mining and machine learning techniques to develop better personalization and recommendation for patients’ and doctors’ needs.
design and develop effective models, features, and algorithms involving multiple datasets - user activity, ehr, adt, medical claims, pharmacy claims, lab test claims etc.
derive insights from descriptive analysis that drive a data-informed process for experimenting with new products to improve patient outcomes.
qualifications:
experience building high quality data products.
7+ years experience as a data scientist, software engineer with predictive modeling, or similar experience of solving real problems with data mining and machine learning techniques.
phd or master’s degree in computer science, machine learning, applied statistics, physics, or a related quantitative discipline.
proficiency in building machine learning (supervised and unsupervised) models and recommendation systems.
strong knowledge of mathematical fundamentals: probability theory, linear algebra and statistics.
ability to execute, starting from problem definition, to a working implementation.
ability to clearly communicate across disciplines and work collaboratively.
proficiency in python and code versioning systems like git.
expertise with data science toolkits like scikit-learn and pandas.
knowledge of software architectures and tools such as scala, hadoop.
familiarity working in a linux server-based environment.
employee benefits for quartet include: unlimited vacation, volunteer opportunities, catered lunches, snacks, team events and outings, full medical, dental + vision coverage, generous parental leave, commuter benefits, 15 free therapy sessions + unlimited copay reimbursements for mental healthcare, 401k, espp, gym benefits.

want to know what quartet life is like? click here to meet our team. quartet is committed to building a diverse team and fostering an inclusive culture, and is proud to be an equal opportunity employer. we embrace and encourage our employees' differences in race, religion, color, national origin, gender, family status, sexual orientation, gender identity, gender expression, age, veteran status, disability, pregnancy, medical conditions, and other characteristics. headhunters and recruitment agencies may not submit resumes/cvs through this web site or directly to managers. quartet does not accept unsolicited headhunter and agency resumes. quartet will not pay fees to any third-party agency or company that does not have a signed agreement with quartet. please note: quartet interview requests and job offers only originate from quartethealth.com email addresses (e.g. jsmith@quartethealth.com). quartet will also never ask for bank information (e.g. account and routing number), social security numbers, passwords, or other sensitive information to be delivered via email. if you receive a scam email or wish to report a security issue involving quartet, please notify us at: security@quartethealth.com.

have someone to refer? email talent@quartethealth.com to submit their details to us.",3.9,"quartet health
3.9","new york, ny","new york, ny",201 to 500 employees,2014,company - private,enterprise software & network solutions,information technology,,-1
data analyst,101165.0,"as we navigate through these unprecedented times, mcms focus continues to be our commitment to our consumers and employees. over the past couple of weeks our teams have worked diligently to ensure wherever possible our employees were able to move to 100% remote work and our consumers were still supported.

mcm continues to hire in areas which aid in the support of our consumers and employees. we have also leveraged our digital capabilities to continue to provide a great recruiting experience. as an applicant, you may be asked to complete a phone screen, or a virtual interview and our recruiting team is committed to supporting any questions you may have throughout the interview process.

now more than ever, we have a high demand for goal-driven, motivated individuals to join our team.

the data analyst is primarily responsible for using data extraction tools, largely excel, sql, and python to perform in-depth analysis of programs and opportunities in the business. the data analyst will make recommendations to improve the operational processes based on their analysis and may design strategies to implement those recommendations. the analyst will then coordinate with other stakeholders to ensure the implementations meet the needs of the business. the primary area of focus for the data analyst is working with data related to encore advantages customers and tailoring strategies to best serve them.

the position is also responsible for creating and monitoring reports to identify trends, issues and opportunities.

responsibilities:
create and monitor reports to identify issues, trends, and opportunities.
extract and analyze data to support business initiatives (e.g. profitability, performance and variance analysis).
recommend improvements related to business profitability or processes.
collaborate with relevant stakeholders to design and execute new strategies
qualifications:

required: bachelor; quantitative field",3.3,"midland credit management
3.3","san diego, ca","san diego, ca",1001 to 5000 employees,1953,subsidiary or business segment,banks & credit unions,finance,12.0,pra group
senior data & machine learning scientist,101165.0,"passionate about precision medicine and advancing the healthcare industry?

recent advancements in underlying technology have finally made it possible for ai to impact clinical care in a meaningful way. tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.

we are looking for machine learning, deep learning, and data science experts who are passionate about applying state of the art techniques to the processing and integrative analyses of vast amounts of data. the ideal candidate has significant expertise in the biomedical or clinical domain, and is eager to apply his or her skills to improve patient outcomes

what you'll do
analyze and integrate large diverse clinical, molecular, biosignal and imaging datasets to extract insights, and drive research opportunities.
design and prototype novel analysis tools and algorithms for predicting patient outcome and treatment response in oncology and cardiology
collaborate with product, science, engineering, and business development teams to build the most advanced data platform in precision medicine.
interrogate analytical results for robustness, validity, and out of sample stability.
document, summarize, and present your findings to a group of peers and stakeholders.
provide technical leadership & expertise across multiple modeling projects.
qualifications
ms/phd degree in a quantitative discipline (e.g. statistical genetics, cancer genetics, machine learning, bioinformatics, statistics, computational biology, applied mathematics, physics, or similar).
5+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data
outstanding analytical and problem solving skills, with a particular focus on understanding the intricacies of molecular or multi-modal data sets.
strong experience working with genomic, biosignal, clinical, or imaging data.
expert-level experience with supervised and unsupervised machine learning algorithms, and ensemble methods, such as: pca, regression, deep neural networks, decision trees, gradient boosting, generalized linear models, mixed effect models, non-linear low dimensional embeddings and clustering.
proficient in python and sql.
experience with the following: pandas, numpy, scipy, scikit-learn, jupyter notebooks, and a machine learning framework such as tensorflow, sagemaker, or pytorch
strong programming skills.
thrive in a fast-paced environment and willing to shift priorities seamlessly.
experience with communicating insights and presenting concepts to diverse audiences.
team player mindset and ability to work in an interdisciplinary team.
goal orientation, self motivation, and drive to make a positive impact in healthcare.
nice to haves
strong peer-reviewed publication record.
kaggle.com competitions and/or kernels track record
experience with: git, matplotlib, seaborn, html5, css3, javascript, d3, plot.ly, flask, dask, docker, aws.
experience working in a linux / mac and aws cloud environments.
experience in agile environments and comfort with quick iterations.
technical leadership experience.
#li-lh1",3.3,"tempus labs
3.3","chicago, il","chicago, il",501 to 1000 employees,2015,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,,-1
data engineer,101165.0,"building bridges, moving ahead
work hard. play hard. breathe easy. that’s a nutshell description of the professionals who thrive at resurgent. regardless of their position, our people are ambitious and entrepreneurial, attracted to the fresh point-of-view of an evolving, growing company. they are personable and patient, attracted to the collaborative nature of our company. and they are centered, understanding the balance needed to achieve success at work and harmony at home.

as a data engineer, you will be responsible for all aspects of the software development lifecycle, including design, coding, integration testing, deployment and documentation. you will create and maintain new data applications relying heavily on experience and judgment to plan and accomplish goals. prior experience designing and developing production solutions is expected.
design & develop custom data warehouse solutions that enable leadership and general users to make informed data driven decisions and address the high demand for data availability in the enterprise.
responsible for creating work estimates, technical project plans, and implementation plans
research emerging development technologies, products, and processes
work collaboratively within an agile project team
follow best practices and coding standards
grow your personal skillset as well as the skills of the team

qualifications/skills:
experience designing data warehouse solutions with strong working sql knowledge
knowledge of databases, data structures, data management, and data manipulation
experience creating data models, and data pipelines for acquisition, cleansing, and integration
proficient with microsoft sql server
experience with c# and/or powershell
familiar with distributed architecture a plus
demonstrated experience in it concepts and practices
understands and has used software development lifecycles
experience working in a team-oriented, collaborative environment
good communication skills with a customer support orientation
excellent problem-solving skills
familiar with application lifecycle management tools and source control

additional desired skills:
ssis or equivalent etl tool
azure / aws
r or python

educational requirements:
college degree preferred; or a combination of education and experience
we would be honored if you applied to join our team! we are an equal opportunity employer,offering a fantastic work environment, challenging career opportunities and competitive compensation.",4.4,"resurgent capital services
4.4","cincinnati, oh","greenville, sc",201 to 500 employees,1998,company - private,venture capital & private equity,finance,50100.0,-1
